german,frequency,pattern,example_sentence,translation,sources
ist sich,59,sein_adj,Sich selbst überlassen ist sich das Kind immer sehr einsam vorgekommen.,"Left to himself, the child would feel very lonely.",['100k_German_sentences_with_aud']
ist immer,59,sein_adj,"Und doch, auch das Gegenteil ist immer wahr.","And yet, the contrary is always true as well.",['100k_German_sentences_with_aud']
ist schwer,59,sein_adj,"Es ist schwer, dich von deinem Bruder zu unterscheiden.",It is hard to distinguish you from your brother.,['100k_German_sentences_with_aud']
sind wir,58,sein_adj,"werden .... + Dat. Die ganze Sache wird so langsam ... einem Problem. Wie sind wir .... dem geworden, was wir heute sind?","werden zu + Dat. Die ganze Sache wird so langsam zu einem Problem. Wie sind wir zu dem geworden, was wir heute sind?","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist bei,57,sein_adj,Deine Antwort ist bei Weitem nicht perfekt.,Your answer is far from perfect.,['100k_German_sentences_with_aud']
hatte ich,57,haben_noun,Letztes Jahr hatte ich einen Schlaganfall.,I had a stroke last year.,['100k_German_sentences_with_aud']
habe schon,57,haben_noun,"Ich habe schon viele Länder besucht, aber Japan mag ich am allerliebsten.","I've visited many countries, but I like Japan best of all.",['100k_German_sentences_with_aud']
hatte einen,56,haben_noun,Ich hatte einen Magentumor und musste mich operieren lassen.,I got a stomach tumor and had to have it operated on.,['100k_German_sentences_with_aud']
nach,56,sich_verb,Das Gehalt richtet sich nach dem Alter und der Berufserfahrung.,The salary is fixed according to age and experience.,['100k_German_sentences_with_aud']
habe mit,56,haben_noun,Ich habe mit dem Rauchen aufgehört und fühle mich wie neugeboren.,I gave up smoking and I feel like a new man.,['100k_German_sentences_with_aud']
haben einen,56,haben_noun,Wir haben einen Schulausflug zum Towada-See unternommen.,We went to Lake Towada on a school excursion.,['100k_German_sentences_with_aud']
immer wieder,56,immer_wieder,"sich wundern ..... + Akk. Ich wundere mich immer wieder ...... dich. Sie hat sich da....  gewundert, dass er noch nicht zu Hause war.","sich wundern über + Akk. Ich wundere mich immer wieder über dich. Sie hat sich darüber gewundert, dass er noch nicht zu Hause war.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
habe meine,56,haben_noun,Ich habe meine Hausaufgaben schon gemacht.,I have already done my homework.,['100k_German_sentences_with_aud']
habe meinen,56,haben_noun,Ich habe meinen Hund auf dem Haustierfriedhof begraben.,I buried my dog at the pet cemetery.,['100k_German_sentences_with_aud']
ist zeit,55,sein_adj,"Es ist Zeit für sie, nach Hause zu gehen.",It is time for her to go home.,['100k_German_sentences_with_aud']
ist nichts,55,sein_adj,"Das ist nichts, was jeder Beliebige tun kann.",It's not something anyone can do.,['100k_German_sentences_with_aud']
sind sehr,55,sein_adj,"Letztes Jahr habe ich Tomaten angebaut, und sie sind sehr gut geworden.",I grew tomatoes last year and they were very good.,['100k_German_sentences_with_aud']
der,54,sich_verb,"Immer dann, wenn ein Blitz aufleuchtete, versteckte sich der Hund unter dem Bett.",The dog hid under the bed whenever lightning flashed.,['100k_German_sentences_with_aud']
ist sie,54,sein_adj,"Bis du aus dem Knast raus bist, ist sie wahrscheinlich schon verheiratet.","By the time you get out of jail, she'll probably have gotten married.",['100k_German_sentences_with_aud']
ist alles,53,sein_adj,"Du bist an meiner Seite, jetzt ist alles gut.",You're by my side; everything's fine now.,['100k_German_sentences_with_aud']
habe dich,53,haben_noun,Ich habe dich mit einem großen Jungen gesehen.,I saw you with a tall boy.,['100k_German_sentences_with_aud']
haben den,53,haben_noun,Sie haben den falschen Schlüssel genommen.,You took the wrong key.,['100k_German_sentences_with_aud']
ist meine,53,sein_adj,"Das ist meine Freundin Rachel, wir sind zusammen ins Gymnasium gegangen.",This is my friend Rachel. We went to high school together.,['100k_German_sentences_with_aud']
wäre er,53,sein_adj,"Du musst nicht zu ihm aufsehen, als wäre er besonders toll.",You must not look upon him as great.,['100k_German_sentences_with_aud']
ist ganz,52,sein_adj,"sich täuschen ...+ Dat. Ich muss zugeben, dass ich mich .... ihr getäuscht habe. Sie ist ganz anders als ich gedacht hatte.","sich täuschen in + Dat. Ich muss zugeben, dass ich mich in ihr getäuscht habe. Sie ist ganz anders als ich gedacht hatte.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
hätte das,52,haben_noun,"Tom dachte, er hätte das perfekte Versteck für seine Goldmünzen gefunden, aber er irrte sich.","Tom thought where he put his gold coins was the perfect hiding place. However, he was wrong.",['100k_German_sentences_with_aud']
bin mit,52,sein_adj,Ich bin mit Freunden ein Bier trinken gegangen.,I went to drink a beer with friends.,['100k_German_sentences_with_aud']
ging in,52,gehen_prep,Die Armee ging in der falschen Richtung vor.,The army was advancing in the wrong direction.,['100k_German_sentences_with_aud']
so,52,sich_verb,"Sieh zu, dass man sich so schnell wie möglich um die Beschwerden kümmert.",Make sure that the complaints are dealt with as quickly as possible.,['100k_German_sentences_with_aud']
hätten sie,51,haben_noun,"Hätten sie gewusst, was passieren würde, hätten sie ihre Pläne geändert.","Had they known what was about to happen, they would have changed their plans.",['100k_German_sentences_with_aud']
ist wie,51,sein_adj,"Mathe ist wie Liebe - eine einfache Idee, aber es kann kompliziert werden.","Math is like love - a simple idea, but it can get complicated.",['100k_German_sentences_with_aud']
war von,50,sein_adj,Herr Hashimoto war von Kens Frage verwirrt.,Mr Hashimoto was confused by Ken's question.,['100k_German_sentences_with_aud']
hätte nie,50,haben_noun,"Ich hätte nie gedacht, dass er so etwas Grausames tun könnte.",I never thought he was capable of doing something so cruel.,['100k_German_sentences_with_aud']
immer,50,sich_verb,"sich drehen ...... + Akk. Auf der Tourismusmesse dreht sich alles ...... Urlaub und Reisen. Es dreht sich immer alles ..... dich, aber ich bin auch noch da. Vergiss das nicht.","sich drehen um + Akk. Auf der Tourismusmesse dreht sich alles um Urlaub und Reisen. Es dreht sich immer alles um dich, aber ich bin auch noch da. Vergiss das nicht.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
habe heute,50,haben_noun,Ich habe heute ein Dutzend Bleistifte gekauft.,I bought a dozen pencils today.,['100k_German_sentences_with_aud']
machen sie,49,machen_noun,Machen Sie sich über die Vergangenheit keine Gedanken!,Don't worry about the past.,['100k_German_sentences_with_aud']
haben das,49,haben_noun,Wir haben das Heu in der Scheune gelagert.,We stored the hay in the barn.,['100k_German_sentences_with_aud']
habe vergessen,49,haben_noun,"Ich habe vergessen, eine Briefmarke auf den Umschlag zu kleben.",I forgot to attach a stamp to the envelope.,['100k_German_sentences_with_aud']
ist jetzt,49,sein_adj,Rauchen ist jetzt auf allen Inlandflügen verboten.,Smoking is now banned on all domestic plane flights.,['100k_German_sentences_with_aud']
ist wirklich,48,sein_adj,"Es ist wirklich schön, dich wiederzusehen, Momoe.","It's really wonderful seeing you again, Momoe.",['100k_German_sentences_with_aud']
machte sich,48,machen_noun,Der Junge machte sich über das Mädchen lustig.,The boy made fun of the girl.,['100k_German_sentences_with_aud']
sind ein,48,sein_adj,"Meine Augen sind ein Ozean, in dem sich meine Träume spiegeln.",My eyes are an ocean in which my dreams are reflected.,['100k_German_sentences_with_aud']
hätte es,48,haben_noun,"Ich hätte es besser machen können, wenn ich die Zeit dazu gehabt hätte.",I could have done better if I had had more time.,['100k_German_sentences_with_aud']
bin es,48,sein_adj,"Man hat mir gesagt, ich sei pragmatisch, und ich bin es.","I have been told that I am pragmatic, and I am.",['100k_German_sentences_with_aud']
war schon,48,sein_adj,"Es war schon dunkel, als ich das Hotel erreichte.",It was dark when I reached the hotel.,['100k_German_sentences_with_aud']
warum maria,48,sein_adj,"Tom weiß nicht, warum Maria nicht kommt.",Tom doesn't know the reason why Mary isn't coming.,['100k_German_sentences_with_aud']
ist schwierig,47,sein_adj,"Es ist schwierig, ein Gespräch mit jemandem zu führen, der nur ""Ja"" und ""Nein"" sagt.","It is difficult to keep up a conversation with someone who only says ""yes"" and ""no"".",['100k_German_sentences_with_aud']
haben tom,47,haben_noun,Zwei Oberstufenschüler haben Tom grün und blau geprügelt.,Two high school boys beat Tom black and blue.,['100k_German_sentences_with_aud']
hatte angst,47,haben_noun,Der Junge hatte Angst vor der Dunkelheit.,The boy feared the dark.,['100k_German_sentences_with_aud']
wäre besser,46,sein_adj,"Es wäre besser, wenn du kein Auto fahren würdest.",You had better not drive a car.,['100k_German_sentences_with_aud']
ist viel,45,sein_adj,"Es ist viel Wahres dran an dem, was du sagst.",There is much truth in what you say.,['100k_German_sentences_with_aud']
ging zu,45,gehen_prep,"Er ging zur Tür, um das Klopfen zu beantworten.",He made for the door to answer the knock.,['100k_German_sentences_with_aud']
nur,45,sich_verb,"sich handeln .....  + Akk. Es kann sich nur ......  ein Missverständnis handeln. Wo..... handelt es sich? Kann ich Ihnen weiterhelfen? Sie sprechen von einer Person, aber ich weiß nicht, ..... wen es ","sich handeln um + Akk. Es kann sich nur um ein Missverständnis handeln. Worum handelt es sich? Kann ich Ihnen weiterhelfen? Sie sprechen von einer Person, aber ich weiß nicht, um wen es sich handelt.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist als,44,sein_adj,"Es gibt nichts, was besser ist als ein heißes Bad.",There's nothing like a good hot bath.,['100k_German_sentences_with_aud']
bin gerade,44,sein_adj,Ich bin gerade von der Schule heimgekommen.,I have just come back from school.,['100k_German_sentences_with_aud']
ist vor,44,sein_adj,Der Bus ist vor 5 Minuten vorbeigefahren.,The bus passed five minutes ago.,['100k_German_sentences_with_aud']
macht sich,44,machen_noun,Jemand anderes macht sich mit dem Gewinn davon.,A third party makes off with the profits.,['100k_German_sentences_with_aud']
gehört zu,43,gehen_prep,"Ich bedauere es, nicht auf seinen Rat gehört zu haben.",I regret not having taken his advice.,['100k_German_sentences_with_aud']
ist wichtig,43,sein_adj,"Es ist wichtig, dass Sie in das Bewerbungsformular ein Foto von Ihnen einfügen.",It is important that you attach your photo to the application form.,['100k_German_sentences_with_aud']
war er,43,sein_adj,In seiner Fantasie war er ein berühmter Autor.,"In his fantasy, he imagined he was a famous writer.",['100k_German_sentences_with_aud']
bin so,43,sein_adj,Noch ein paar Minuten und ich bin so weit.,"A few minutes more, and I'll be ready.",['100k_German_sentences_with_aud']
habe so,43,haben_noun,"diskutieren ..... + Akk. Ich habe so langsam keine Lust mehr, ..... dieses leidige Thema zu diskutieren. Wir haben stundenlang da....  diskutiert, wer für welche Aufgabe zuständig ist.","diskutieren über + Akk. Ich habe so langsam keine Lust mehr, über dieses leidige Thema zu diskutieren. Wir haben stundenlang darüber diskutiert, wer für welche Aufgabe zuständig ist.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist eines,43,sein_adj,Mali ist eines der ärmsten Länder Afrikas südlich der Saharawüste.,Mali is one of the poorest countries in Subsaharan Africa.,['100k_German_sentences_with_aud']
macht es,42,machen_noun,Setzt euch auf das Sofa und macht es euch bequem.,Sit on the sofa and make yourself comfortable.,['100k_German_sentences_with_aud']
habe gestern,42,haben_noun,"Ich habe gestern den ganzen Tag lang geschlafen, da Sonntag war.","I slept all day yesterday, because it was Sunday.",['100k_German_sentences_with_aud']
sorgen,41,sich_verb,sich sorgen ..... + Akk. Ich sorge mich sehr ..... die Gesundheit meiner Großmutter.,sich sorgen um + Akk. Ich sorge mich sehr um die Gesundheit meiner Großmutter.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
nie,41,sich_verb,Bill streitet sich nie mit anderen Leuten.,Bill never argues with other people.,['100k_German_sentences_with_aud']
ist etwas,41,sein_adj,"Noch nie ist etwas Großes erreicht worden, indem man dem Risiko aus dem Weg ging.",Nothing great has been achieved by playing it safe.,['100k_German_sentences_with_aud']
ist genau,41,sein_adj,"Das ist genau die gleiche Idee, die ich habe.",That is the exactly the same idea as I have.,['100k_German_sentences_with_aud']
haben mich,40,haben_noun,"jn. hindern .... + Dat. Sie haben mich ....... gehindert, meine Träume zu verwirklichen.","jn. hindern an  + Dat. Sie haben mich daran gehindert, meine Träume zu verwirklichen.",['Verben_mit_Prpositionen_und_Be']
habe keinen,40,haben_noun,"Ich habe keinen blassen Schimmer, was du sagen willst.",I haven't the faintest idea what you mean.,['100k_German_sentences_with_aud']
und,40,sich_verb,"Ganz Gentleman, erhob er sich und bot ihr seinen Platz an.","Like a gentleman, he rose and offered her his seat.",['100k_German_sentences_with_aud']
war noch,40,sein_adj,Die Entscheidung war noch in der Schwebe.,The decision was still in the air.,['100k_German_sentences_with_aud']
bin in,39,sein_adj,Ich bin in Portugal zufällig meiner Exfreundin begegnet.,By chance I met my ex-girlfriend in Portugal.,['100k_German_sentences_with_aud']
hatte eine,39,haben_noun,Die Medizin hatte eine wundervolle Wirkung auf ihn.,The medicine had a wonderful effect on him.,['100k_German_sentences_with_aud']
ist heute,39,sein_adj,Der König ist heute Morgen jagen gegangen.,The king went hunting this morning.,['100k_German_sentences_with_aud']
ist gut,39,sein_adj,"Es ist gut, Ideale zu haben, findest du nicht?",It is good to have ideals... don't you think?,['100k_German_sentences_with_aud']
am,39,sich_verb,"sich informieren ... + Dat. Ich würde gern wissen, .... wem ich mich näher informieren kann. Informieren Sie sich am besten .... einem Fachmann oder einer Fachfrau.","sich informieren bei + Dat. Ich würde gern wissen, bei wem ich mich näher informieren kann. Informieren Sie sich am besten bei einem Fachmann oder einer Fachfrau.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
sicher,39,sich_verb,"Das Baseballteam ist sich sicher, das nächste Spiel zu gewinnen.",The baseball team is certain to win the next game.,['100k_German_sentences_with_aud']
war mir,39,sein_adj,"Ich war mir nicht sicher, welchen Zug ich nehmen sollte.",I didn't know for certain which train to take.,['100k_German_sentences_with_aud']
beim,38,sich_verb,Fred und George wechselten sich beim Fahren ab.,Fred and George took turns with the driving.,['100k_German_sentences_with_aud']
war mit,38,sein_adj,Das zerbrochene Fenster war mit Brettern zugenagelt.,The broken window was boarded up.,['100k_German_sentences_with_aud']
sind im,38,sein_adj,Wir sind im letzten Herbst nach New York gezogen.,We moved to New York last fall.,['100k_German_sentences_with_aud']
bin der,38,sein_adj,Ich bin der erste Musiker in meiner Familie.,I am the first musician in my family.,['100k_German_sentences_with_aud']
keine,38,sich_verb,Mit Geld lässt sich keine Freiheit kaufen.,Money cannot buy freedom.,['100k_German_sentences_with_aud']
sorgen machen,38,verb_zu,Um so etwas brauchst du dir keine Sorgen zu machen.,You don't need to worry about such a thing.,['100k_German_sentences_with_aud']
bist die,38,sein_adj,"Du bist die letzte Person, welche ich erwartete, hier zu sehen.",You are the last person I expected to see here.,['100k_German_sentences_with_aud']
sind schon,37,sein_adj,"Es sind schon fast 10 Jahre vergangen, aber du bist unverändert schön.","It's been almost ten years, but you're as beautiful as ever.",['100k_German_sentences_with_aud']
ist größer,37,sein_adj,Hanako ist größer geworden als ihre Mutter.,Hanako grew taller than her mother.,['100k_German_sentences_with_aud']
geht,37,sich_verb,"Ich verlange zu erfahren, was hier vor sich geht!",I demand to know what's going on here.,['100k_German_sentences_with_aud']
habe nur,37,haben_noun,"Ich habe nur gefragt, ob ich mir das Buch leihen kann.",I only asked if I could borrow the book.,['100k_German_sentences_with_aud']
war sich,37,sein_adj,Der Physiker war sich der möglichen Gefahr einer Kernschmelze bewusst.,The physicist was aware of the potential danger of nuclear fusion.,['100k_German_sentences_with_aud']
war überrascht,37,sein_adj,"Ich war überrascht, dort einen alten Freund zu treffen.",I was surprised to see an old friend of mine there.,['100k_German_sentences_with_aud']
war für,37,sein_adj,"Frau Eichler war für ihren Ruf bekannt, streng zu ihren Schülern zu sein.",Ms. Eichler had a notorious reputation for being austere to her students.,['100k_German_sentences_with_aud']
machte einen,37,machen_noun,Ben machte einen Hundertmeterlauf mit Carl.,Ben ran a 100-meter race with Carl.,['100k_German_sentences_with_aud']
wie,36,sich_verb,Die Zwillinge gleichen sich wie ein Ei dem anderen.,The twins are as alike as two peas in a pod.,['100k_German_sentences_with_aud']
schon,36,sich_verb,sich beklagen ..... + Dat. Sie hat sich schon mehrmals .... mir beklagt.,sich beklagen bei + Dat. Sie hat sich schon mehrmals bei mir beklagt.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
bin gekommen,36,sein_adj,"Ich bin gekommen, um mich zu verabschieden.",I've come to say goodbye.,['100k_German_sentences_with_aud']
ist auch,36,sein_adj,Dieses Buch ist auch nach vielmaligem Lesen noch interessant.,This book is still interesting even after reading it many times.,['100k_German_sentences_with_aud']
habe nie,36,haben_noun,"Ich habe nie gesagt, ich sei zerbrechlich.",I never said I was fragile.,['100k_German_sentences_with_aud']
ist dein,36,sein_adj,Wie ist dein Vorstellungsgespräch gelaufen?,How did your interview go?,['100k_German_sentences_with_aud']
ist gefährlich,35,sein_adj,"Es ist gefährlich, nahe am Feuer zu spielen.",It's dangerous to play around the fire.,['100k_German_sentences_with_aud']
ist aus,35,sein_adj,"Es ist aus zwischen uns, gib mir meinen Ring zurück!",It's over between us. Give me back my ring!,['100k_German_sentences_with_aud']
entschieden,35,sich_verb,"Die Stadt hat sich entschieden, die Straßenbahn abzuschaffen.",The city has decided to do away with the streetcar.,['100k_German_sentences_with_aud']
ist fast,35,sein_adj,"Es ist fast unmöglich, eine fremde Sprache in kurzer Zeit zu erlernen.",It is almost impossible to learn a foreign language in a short time.,['100k_German_sentences_with_aud']
war tom,34,sein_adj,"Es war Tom, der gestern das Fenster zerbrochen hatte.",It was Tom that broke the window yesterday.,['100k_German_sentences_with_aud']
haben ein,34,haben_noun,Sie haben ein sehr gutes Curriculum an der Universität.,They have a very good curriculum at that university.,['100k_German_sentences_with_aud']
bin ein,34,sein_adj,"Ich bin ein Mensch, der viele Fehler hat, aber diese Fehler können leicht korrigiert werden.","I am a flawed person, but these are flaws that can easily be fixed.",['100k_German_sentences_with_aud']
bist der,34,sein_adj,"Du bist der Mann, nach dem ich gesucht habe.",You are the man I've been looking for.,['100k_German_sentences_with_aud']
war sie,34,sein_adj,"Nachdem sie so viele Treppenstufen hochgelaufen war, war sie völlig außer Atem.","After running up so many flights of steps, she was completely out of breath.",['100k_German_sentences_with_aud']
sind noch,34,sein_adj,Es sind noch fünf Tage bis zu den Ferien.,We have five days to go before the holidays.,['100k_German_sentences_with_aud']
warst du,34,sein_adj,"Wo warst du während der 30 Minuten, in denen du weg warst?",Where did you go for that 30 minutes you were gone?,['100k_German_sentences_with_aud']
habe dieses,33,haben_noun,Ich habe dieses Restaurant zufällig gefunden.,I found that restaurant by accident.,['100k_German_sentences_with_aud']
ist einfach,33,sein_adj,"Es ist einfach für dich, dieses Problem zu lösen.",It is easy for you to solve this problem.,['100k_German_sentences_with_aud']
haben noch,33,haben_noun,"Wir haben noch nicht besprochen, welche Methode besser ist.",We have not yet discussed which method is better.,['100k_German_sentences_with_aud']
sind zu,33,sein_adj,"diskutieren ..... + Dat. Wir haben stundenlang ..... ihnen diskutiert, aber wir sind zu keinem Ergebnis gekommen.","diskutieren mit + Dat. Wir haben stundenlang mit ihnen diskutiert, aber wir sind zu keinem Ergebnis gekommen.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
machst du,32,machen_noun,"Was machst du lieber, Ski fahren oder Schlittschuh laufen?","Which do you like better, skating or skiing?",['100k_German_sentences_with_aud']
habe ihm,32,haben_noun,Ich habe ihm gerade einen Brief geschrieben.,I have just written a letter to him.,['100k_German_sentences_with_aud']
waren sie,32,sein_adj,Waren Sie schon einmal in Großbritannien?,Have you ever been to Britain?,['100k_German_sentences_with_aud']
machen würde,32,machen_noun,"Beth wurde von ihrem faulen Freund gefragt, ob sie seine Hausaufgabe für Geschichte machen würde.",Beth was asked by her lazy boyfriend to do his history homework.,['100k_German_sentences_with_aud']
ist gestern,32,sein_adj,Unser Auto ist gestern Abend liegen geblieben.,Our car broke down last night.,['100k_German_sentences_with_aud']
hätte tom,32,haben_noun,"Auf keinen Fall hätte Tom das Geld stehlen können, ohne gesehen worden zu sein.",There's no way that Tom could have stolen the money without being seen.,['100k_German_sentences_with_aud']
gesehen haben,31,verb_zu,"Ich erinnere mich, sie irgendwo gesehen zu haben.",I remember seeing her somewhere.,['100k_German_sentences_with_aud']
ist unmöglich,31,sein_adj,"Nichts ist unmöglich für den, der es nicht selbst machen muss.",Nothing is impossible for the man who doesn't have to do it himself.,['100k_German_sentences_with_aud']
habe versucht,31,haben_noun,"jn. stören ....+ Dat.Entschuldigung, aber Sie stören mich ....m Lernen.  Ich habe versucht, meine Aufgaben zu erledigen, aber ich wurde mehrmals da... gestört.","Entschuldigung, aber Sie stören mich beim Lernen.  Ich habe versucht, meine Aufgaben zu erledigen, aber ich wurde mehrmals dabei gestört.","['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ist dir,31,sein_adj,Wie ist dir denn so eine gute Ausrede eingefallen?,How did you come up with such a good excuse?,['100k_German_sentences_with_aud']
sind mit,30,sein_adj,Wir sind mit dem Flugzeug nach Mexiko gereist.,We traveled to Mexico by plane.,['100k_German_sentences_with_aud']
verspäten,30,sich_verb,"Sie könnte sich verspäten, in welchem Falle wir warten werden.","She may be late, in which case we will wait.",['100k_German_sentences_with_aud']
machen soll,30,machen_noun,"Sag mir bitte, wie ich mein Bett machen soll.",Please tell me how to make my bed.,['100k_German_sentences_with_aud']
habe nichts,30,haben_noun,"Ich habe nichts, womit ich prahlen könnte.",I have nothing to boast about.,['100k_German_sentences_with_aud']
warten lassen,30,sein_adj,"Tut mir leid, dass ich dich so lange habe warten lassen.",I am sorry to have kept you waiting so long.,['100k_German_sentences_with_aud']
habe euch,30,haben_noun,Ich habe euch hier nicht so früh erwartet.,I didn't expect you to get here so soon.,['100k_German_sentences_with_aud']
haben keine,30,haben_noun,Die beiden Länder haben keine diplomatischen Beziehungen.,The two countries do not have diplomatic relations.,['100k_German_sentences_with_aud']
hätte sie,30,haben_noun,Ich hätte Sie am Flughafen treffen können.,I could've met you at the airport.,['100k_German_sentences_with_aud']
ist offensichtlich,30,sein_adj,"Es ist offensichtlich, dass du gelogen hast.",It's evident that you told a lie.,['100k_German_sentences_with_aud']
sind beide,29,sein_adj,"Fisch und Fleisch sind beide nahrhaft, aber Letzteres ist teurer als Ersteres.","Fish and meat are both nourishing, but the latter is more expensive than the former.",['100k_German_sentences_with_aud']
warum habt,29,sein_adj,Warum habt ihr mich gestern Abend nicht angerufen?,How come you didn't call me last night?,['100k_German_sentences_with_aud']
haben nicht,29,haben_noun,"Wir haben nicht damit gerechnet, dass sie sich ein neues Auto kaufen würden.",We didn't anticipate their buying a new car.,['100k_German_sentences_with_aud']
ist wahr,29,sein_adj,"Was glauben Sie ist wahr, obwohl Sie es nicht beweisen können?",What do you believe is true even though you cannot prove it?,['100k_German_sentences_with_aud']
warum ist,29,sein_adj,Warum ist sie früher nach Hause gekommen?,Why did she come home early?,['100k_German_sentences_with_aud']
hätte mir,29,haben_noun,"Ich hätte mir nicht träumen lassen, dir hier zu begegnen.",I little dreamed of seeing you here.,['100k_German_sentences_with_aud']
ist jemand,28,sein_adj,"Ein Kaufmann ist jemand, der Waren kauft und verkauft.",A merchant is a person who buys and sells goods.,['100k_German_sentences_with_aud']
gut,28,sich_verb,Für sein Alter hat Tom sich gut geschlagen.,Tom did well considering his age.,['100k_German_sentences_with_aud']
haben alle,28,haben_noun,sich kümmern ..... + Akk. Meine Frau arbeitet und ich kümmere mich ...... den Haushalt und die Kinder. Wir haben alle Aufgaben für das Fest verteilt. Ich kümmere mich ..... die Getränke. Wir müssen un,sich kümmern um + Akk. Meine Frau arbeitet und ich kümmere mich um den Haushalt und die Kinder. Wir haben alle Aufgaben für das Fest verteilt. Ich kümmere mich um die Getränke. Wir müssen uns darum kü,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
ging nach,28,gehen_prep,"Der Maler ging nach Paris mit dem Ziel, Malerei zu studieren.",The painter went to Paris with the object of studying painting.,['100k_German_sentences_with_aud']
sind alle,28,sein_adj,In diesem Garten sind alle Arten von Blumen.,There are all kinds of flowers in that garden.,['100k_German_sentences_with_aud']
habe gesehen,28,haben_noun,"Ich habe gesehen, wie ein Mann von einem Auto überfahren wurde.",I saw a man knocked down by a car.,['100k_German_sentences_with_aud']
ist deine,28,sein_adj,Ist deine Schule weit von zuhause entfernt?,Is your school far from your home?,['100k_German_sentences_with_aud']
aus,28,sich_verb,Das Französische entwickelte sich aus dem Latein.,French developed from Latin.,['100k_German_sentences_with_aud']
hatte er,28,haben_noun,Zu meiner Überraschung hatte er eine schöne Stimme.,"To my surprise, he had a beautiful voice.",['100k_German_sentences_with_aud']
habe etwas,27,haben_noun,"Tom sagt, er habe etwas, das er uns zeigen wolle.",Tom says he has something to show us.,['100k_German_sentences_with_aud']
habe mein,27,haben_noun,"Ich habe mein Feuerzeug überall gesucht, konnte es aber nicht finden.",I searched high and low for my lighter but couldn't find it.,['100k_German_sentences_with_aud']
hätte sich,27,haben_noun,"Sie hätte sich nie träumen lassen, dass sie den ersten Preis gewänne.",Little did she dream that she could win first prize.,['100k_German_sentences_with_aud']
hatte den,27,haben_noun,Regenmangel hatte den Tod von Wildpflanzen zur Folge.,An absence of rain caused wild plants to die.,['100k_German_sentences_with_aud']
macht mir,27,machen_noun,"Kälte macht mir nichts aus, aber Hitze kann ich nicht ertragen.","I don't mind the cold, but I can't stand the heat.",['100k_German_sentences_with_aud']
bin auf,27,sein_adj,Ich bin auf dem Heimweg in einen Schauer geraten.,I was caught in a shower on my way home.,['100k_German_sentences_with_aud']
hätten nicht,27,haben_noun,Sie hätten nicht so viel Geld für Ihr Hobby ausgeben sollen.,You ought not to have spent so much money on your hobby.,['100k_German_sentences_with_aud']
ist schade,27,sein_adj,"Es ist schade, dass ich nicht abnehmen muss.",It's too bad that I don't need to lose weight.,['100k_German_sentences_with_aud']
machen lassen,27,machen_noun,Ich kann diese Arbeit nicht von irgendjemandem machen lassen.,I can't get this work done by anybody.,['100k_German_sentences_with_aud']
warum bist,26,sein_adj,Warum bist du um diese Uhrzeit noch wach?,What keeps you up so late?,['100k_German_sentences_with_aud']
hatte die,26,haben_noun,Ich hatte die Möglichkeit ins Ausland zu reisen.,I had a chance to travel abroad.,['100k_German_sentences_with_aud']
schnell,26,sich_verb,sich vertragen ..... + Dat. Nach dem Streit hat er sich schnell wieder .... seinem Bruder vertragen.,sich vertragen mit + Dat. Nach dem Streit hat er sich schnell wieder mit seinem Bruder vertragen.,"['100k_German_sentences_with_aud', 'Verben_mit_Prpositionen_und_Be']"
habe zu,26,haben_noun,Ich habe zu rauchen aufgehört und fühle mich wie ein neuer Mensch.,I gave up smoking and I feel like a new man.,['100k_German_sentences_with_aud']
ist zwar,26,sein_adj,"Er ist zwar jung, aber sehr zuverlässig.","It is true that he is young, but he is very reliable.",['100k_German_sentences_with_aud']
warum sollte,26,sein_adj,Warum sollte man sich dafür entschuldigen müssen?,Why does that require an apology?,['100k_German_sentences_with_aud']
bist nicht,26,sein_adj,"Du bist nicht alt genug, um einen Führerschein zu bekommen.",You're not old enough to get a driver's license.,['100k_German_sentences_with_aud']
ist mehr,26,sein_adj,Das Ganze ist mehr als die Summe seiner Teile.,The whole is greater than the sum of the parts.,['100k_German_sentences_with_aud']
hatte ein,26,haben_noun,"Ich hatte ein wenig Schwierigkeiten, ein Taxi zu bekommen.",I had a little difficulty in getting a taxi.,['100k_German_sentences_with_aud']
habe immer,26,haben_noun,"He, ich habe vielleicht kein Geld, aber ich habe immer noch meinen Stolz.","Hey, I may have no money, but I still have my pride.",['100k_German_sentences_with_aud']
hatte sich,26,haben_noun,Auf dem Schreibtisch hatte sich Staub angesammelt.,Dust had accumulated on the desk.,['100k_German_sentences_with_aud']
